GTEx Gene,Count,GTEx Gene Name,KL Divergence,TCGA Gene ID,TCGA Gene Name,index
ENSG00000207234.1,1,RNU6-125P,0.0256819082433282,ENSG00000207234.1,RNU6-125P,20915
ENSG00000212329.1,1,RNU6-316P,0.0257030645513552,ENSG00000212329.1,RNU6-316P,21881
ENSG00000202259.1,1,RNU6-1318P,0.0257146123879659,ENSG00000202259.1,RNU6-1318P,19400
ENSG00000243027.3,1,RN7SL354P,0.0257425688378256,ENSG00000243027.3,RN7SL354P,36611
ENSG00000257757.1,1,OR6C7P,0.0257791824343491,ENSG00000257757.1,OR6C7P,43918
ENSG00000202379.1,1,SNORA70,0.0257861364807033,ENSG00000202379.1,SNORA70,19459
ENSG00000235278.2,1,ZNF652P1,0.0258000480850327,ENSG00000235278.2,ZNF652P1,32744
ENSG00000233764.1,1,MTCO1P20,0.025809436544692,ENSG00000233764.1,MTCO1P20,31705
ENSG00000214266.2,1,STARP1,0.0258203879079898,ENSG00000214266.2,STARP1,22736
ENSG00000253349.1,1,COX6B1P6,0.0258358248053259,ENSG00000253349.1,COX6B1P6,41073
ENSG00000226339.1,1,RPS26P56,0.025909758657707,ENSG00000226339.1,RPS26P56,26654
ENSG00000206077.10,1,ZDHHC11B,0.025928583187973,ENSG00000206077.13,ZDHHC11B,20345
ENSG00000199833.1,1,SNORD115-21,0.0259367539383388,ENSG00000199833.1,SNORD115-21,18312
ENSG00000280249.1,1,AL691477.1,0.0260204321577299,ENSG00000280249.1,AL691477.1,56144
ENSG00000212536.1,1,RNA5SP474,0.0260212031015448,ENSG00000212536.1,RNA5SP474,21997
ENSG00000172830.12,1,SSH3,0.0260223145682969,ENSG00000172830.13,SSH3,13389
ENSG00000145708.10,1,CRHBP,0.0260391085507234,ENSG00000145708.11,CRHBP,8729
ENSG00000242134.2,1,RPL5P13,0.0261315662689206,ENSG00000242134.2,RPL5P13,36243
ENSG00000244610.3,1,RN7SL756P,0.0261519120040734,ENSG00000244610.3,RN7SL756P,37272
